algo,seed,step,ep_reward,ep_length,collision,success
TD-MPC2,0,372,9.296347618103027,14.0,0.0,0.0
TD-MPC2,0,377,2.9109134674072266,6.0,0.0,0.0
TD-MPC2,0,384,4.593054294586182,8.0,0.0,0.0
TD-MPC2,0,386,0.7872229218482971,3.0,0.0,0.0
TD-MPC2,0,388,0.8588994741439819,3.0,0.0,0.0
TD-MPC2,0,399,8.758124351501465,12.0,0.0,0.0
TD-MPC2,0,403,2.24398136138916,5.0,0.0,0.0
TD-MPC2,0,410,4.526743412017822,8.0,0.0,0.0
TD-MPC2,0,416,3.7678072452545166,7.0,0.0,0.0
TD-MPC2,0,421,2.9759294986724854,6.0,0.0,0.0
TD-MPC2,0,427,3.7775423526763916,7.0,0.0,0.0
TD-MPC2,0,430,1.6154356002807617,4.0,0.0,0.0
TD-MPC2,0,443,9.370509147644043,14.0,0.0,0.0
TD-MPC2,0,446,1.5571303367614746,4.0,0.0,0.0
TD-MPC2,0,447,0.0,2.0,0.0,0.0
TD-MPC2,0,450,1.5924851894378662,4.0,0.0,0.0
TD-MPC2,0,457,4.579531669616699,8.0,0.0,0.0
TD-MPC2,0,460,1.389549970626831,4.0,0.0,0.0
TD-MPC2,0,463,1.4444444179534912,4.0,0.0,0.0
TD-MPC2,0,464,0.0,2.0,0.0,0.0
TD-MPC2,0,466,0.730128288269043,3.0,0.0,0.0
TD-MPC2,0,470,2.297577381134033,5.0,0.0,0.0
TD-MPC2,0,480,7.497421741485596,11.0,0.0,0.0
TD-MPC2,0,483,1.4732837677001953,4.0,0.0,0.0
TD-MPC2,0,487,2.182602643966675,5.0,0.0,0.0
TD-MPC2,0,494,4.652440071105957,8.0,0.0,0.0
TD-MPC2,0,495,0.0,2.0,0.0,0.0
TD-MPC2,0,500,3.253967761993408,6.0,0.0,0.0
TD-MPC2,0,503,1.355555534362793,4.0,0.0,0.0
TD-MPC2,0,507,2.222454786300659,5.0,0.0,0.0
TD-MPC2,0,513,3.684623956680298,7.0,0.0,0.0
TD-MPC2,0,518,3.051982879638672,6.0,0.0,0.0
TD-MPC2,0,525,5.256626129150391,8.0,0.0,0.0
TD-MPC2,0,532,4.502167701721191,8.0,0.0,0.0
TD-MPC2,0,538,3.8629231452941895,7.0,0.0,0.0
TD-MPC2,0,543,3.0796656608581543,6.0,0.0,0.0
TD-MPC2,0,552,6.49276065826416,10.0,0.0,0.0
TD-MPC2,0,558,3.727365016937256,7.0,0.0,0.0
TD-MPC2,0,565,4.439500331878662,8.0,0.0,0.0
TD-MPC2,0,569,2.1465749740600586,5.0,0.0,0.0
TD-MPC2,0,572,1.355555534362793,4.0,0.0,0.0
TD-MPC2,0,577,2.971395492553711,6.0,0.0,0.0
TD-MPC2,0,582,3.1016414165496826,6.0,0.0,0.0
TD-MPC2,0,587,2.935473680496216,6.0,0.0,0.0
TD-MPC2,0,590,1.557103157043457,4.0,0.0,0.0
TD-MPC2,0,594,2.133333444595337,5.0,0.0,0.0
TD-MPC2,0,599,2.9937431812286377,6.0,0.0,0.0
TD-MPC2,0,601,0.6666666865348816,3.0,0.0,0.0
TD-MPC2,0,605,2.5267112255096436,5.0,0.0,0.0
